,id,state,managers,created_on,modified,next_contact_date,tier,nickname,external_id,ext_acct_id,license_number,old_license_number,license_inactive,business_identifier,ein,directions,delivery_preferences,currency,shipping_charge,brand,name,dba,business_license_name,description,website,address,old_address,unit_number,zipcode,city,county,country,lat,long,phone,phone_extension,email,notes,leaflink_last_views,leaflink_source,reason,archived,delinquent,discount_percent,owner,partner,price_schedule,service_zone,license_type,payment_term,status,reason_product,external_ids
15,491343,CA,[34493],2020-08-11T17:29:01.487853-07:00,2020-09-24T12:00:48.726802-07:00,,,,,,C9-0000074-LIC,,False,,,,"<div style=""color: rgb(34, 34, 34); font-family: Arial, Helvetica, sans-serif; font-size: small; direction: ltr;"">Available to receive deliveries Monday through Friday, anytime between 11AM<span id=""m_-4168147138654775976m_-994765541320592788ms-outlook-ios-cursor""></span>-6PM.</div><div style=""color: rgb(34, 34, 34); font-family: Arial, Helvetica, sans-serif; font-size: small; direction: ltr;"">If we could get the invoice to get the cash prepped, that would be great!</div><div style=""color: rgb(34, 34, 34); font-family: Arial, Helvetica, sans-serif; font-size: small; direction: ltr;"">COA’s are fine on delivery.</div><div style=""color: rgb(34, 34, 34); font-family: Arial, Helvetica, sans-serif; font-size: small; direction: ltr;""><br></div><div style=""color: rgb(34, 34, 34); font-family: Arial, Helvetica, sans-serif; font-size: small; direction: ltr;"">Contact Jelina</div>",USD,,,California Artisanal Medicine,California Artisanal Medicine,,,,20 Blue Sky Court,,,95828,Sacramento,,,38.514468,-121.384465,,,jelina@camdispensary.com,<p>Jelina aka j is buyer.&nbsp; works with owner to put order together.&nbsp; only carry stiizy as other carts.&nbsp; Should do well.&nbsp; This is a small delivery only shop.&nbsp;&nbsp;</p>,,True,,False,False,0.0000,5301,10938.0,,5831.0,96.0,1.0,1052.0,,{}
16,252200,CA,[],2019-07-04T15:39:50.962293-07:00,2019-07-04T16:00:00.468973-07:00,,,,,,A10-18-0000245,,False,,,,,USD,,,California Caregivers Alliance,California Caregivers Alliance,,California Caregivers Alliance,,"2815 W SUNSET BLVD, STE 201",,,90026,LOS ANGELES,,,34.082341,-118.271802,,,,,2019-08-12T19:25:09.678195-07:00,True,,False,False,0.0000,5301,3902.0,,,32.0,,,,{}
17,171795,CA,[35250],2019-01-11T14:03:43.044321-08:00,2019-01-16T10:46:59.975399-08:00,,,CBG,,,C9-18-0000125-TEMP,,False,,,,,USD,,,California's Best Genetics LLC,,,,,8880 Elder Creek Rd,,Suite F,95828,Sacramento,,,38.510614,-121.372586,9165805414,,c.l.huckabay@gmail.com,<p>Call/text phone # an hour prior to delivery to give heads up.</p>,,False,,False,False,0.0000,5301,,,,36.0,3.0,,,{}
18,162907,CA,[],2018-12-06T14:28:39.064979-08:00,2019-09-23T15:36:56.741321-07:00,,,,,,103-131830,,False,,,<p>24 HOur notice any day is fine.&nbsp;</p>,"<p>Invoice and 24 hour notice, to Kevin or Jorge</p>",USD,,,Cali Ganja Mart,,,,,20929-1 Roscoe Blvd,,,91311,Chatsworth,,,34.220604,-118.589353,8055875692,,calisganjamart@gmail.com,,,False,,False,False,0.0000,5301,,,1440.0,31.0,1.0,,,{}
19,221786,CA,[27671],2019-05-31T13:37:24.486414-07:00,2019-05-31T13:37:26.694703-07:00,,,,,,263113984-00001,,False,,,<p>COD .&nbsp;</p>,,USD,,,calis best delivery,,,,http://www.calisbestdelivery.com,929 E 14th st,,B,90021,Los angeles,,,,,3234732858,,calisbestdeliveryoffical@gmail.com,,,False,,False,False,0.0000,5301,,,1440.0,36.0,,,,{}
20,113297,CA,[],2018-05-30T14:02:13.899973-07:00,2018-05-30T14:45:01.066996-07:00,,,Caliva,,,A10-17-0000019,,False,,,,,USD,,,Caliva,,,,,1695 S 7th St,,,95112,San Jose,,,,,4082972615,,info@gocaliva.com,,,False,,False,False,0.0000,5301,3434.0,,,32.0,,,,{}
21,499690,CA,[],2020-08-24T09:44:50.353539-07:00,2020-08-24T09:44:50.452614-07:00,,,,,,C10-0000406-LIC,,False,,,,,USD,,,Caña Farms,Caña Farms,,,,7011 Canoga Ave,,,91303,Canoga Park,Los Angeles,,34.192710,-118.597478,,,,,,True,clicked_shop_brand,False,False,0.0000,5301,6284.0,,,83.0,,,,{}
22,117178,CA,[],2018-06-18T10:10:18.399893-07:00,2018-10-29T22:11:08.858926-07:00,,,Cannabal City,,,102856805,,False,,,,,USD,,,Cannabal City,,,,,547 Seaton Street,,,90013,Los Angeles,,,34.040139,-118.237541,2136131288,,,,,False,,True,False,0.0000,5301,,,,25.0,,1055.0,,{}
23,262215,CA,[],2019-07-18T14:54:39.082615-07:00,2019-07-18T14:54:40.272533-07:00,,,,,,A10-18-0000307,,False,,,,,USD,,,Cannabis Local,,,,,12800 Wentworth St,,,91331,Arleta,,,34.237104,-118.411015,3109517994,,,,,False,,False,False,0.0000,5301,,,,32.0,,,,{}
24,519754,CA,[],2020-09-22T15:04:07.429340-07:00,2020-09-22T15:04:07.776070-07:00,,,,,,C9-0000102-LIC,,False,,,,,USD,,,Cannable Delivery,Cannable Delivery,,,,9225 S Milton Ave,,,93648,Parlier,,,36.609153,-119.552270,,,,,,True,clicked_shop_brand,False,False,0.0000,5301,9553.0,,,83.0,,,,{}
25,262352,CA,[17836],2019-07-19T08:50:17.723689-07:00,2019-07-19T09:00:00.452822-07:00,,,,,,A10-18-0000198-TEMP,,False,,,,,USD,,,Canna Cloud,,,,,"1153 Harley Knox Perris, California US 92571",,,92571,perris,,,33.858459,-117.251468,9519406420,,,,,False,,False,False,0.0000,5301,,,,83.0,,,,{}
26,113299,CA,[],2018-05-30T14:02:14.224373-07:00,2018-05-30T14:45:01.160328-07:00,,,CannaCruz,,,A10-17-0000018,,False,,,,,USD,,,CannaCruz,,,,,115 Limekiln St,,,95060,Santa Cruz,,,,,8314203227,,cannacruz420@gmail.com,,,False,,False,False,0.0000,5301,,,,32.0,,,,{}
27,187916,CA,[35250],2019-02-25T20:18:43.402798-08:00,2019-02-25T20:42:42.107928-08:00,,,,,,A10-17-0000045-TEMP,,False,,,,,USD,,,Canna Culture,,,,http://cannaculturecollective.com/,3591 Charter Park Dr.,,#20,95136,San Jose,,,37.279092,-121.849992,4082647877,,info@cannaculturecollective.com,,,False,,False,False,0.0000,5301,,413.0,,32.0,4.0,,,{}
28,113298,CA,[],2018-05-30T14:02:14.030318-07:00,2019-10-11T15:45:21.616934-07:00,,,Canna Culture Collective,,,A10-17-0000045,,False,,,,,USD,,,Canna Culture Collective,,,,,"1346, 3591 Charter Park Dr",,,95136,San Jose,,,,,4082647877,,info@cannaculturecollective.com,,2019-12-05T12:27:28.202133-08:00,False,,True,False,0.0000,5301,3726.0,,,32.0,,,,{}
29,424990,CA,[],2020-05-14T14:47:13.907107-07:00,2020-05-14T14:47:14.566438-07:00,,,,,,C11-,,False,,,,,USD,,,Canna Distribution & Transit,Canna Distribution & Transit,,,,5277 W Jefferson Blvd.,,,90016,Culver City,,,34.025584,-118.360601,,,,,,True,,False,False,0.0000,5301,10286.0,,,97.0,,,,{}
30,152701,CA,[],2018-10-31T14:48:13.048016-07:00,2018-11-15T11:07:26.117796-08:00,,,,,,,,False,,,,,USD,,,Cannary West,,,,,2435 Military Ave,,,,Los Angeles,,,34.037313,-118.432716,4242932479,,,,,False,,False,False,0.0000,5301,,,,,,,,{}
31,113300,CA,[32436],2018-05-30T14:02:14.477915-07:00,2020-07-23T15:10:17.007958-07:00,,,CannaSutra,,,A10-18-0000319,,False,,,,,USD,,,CannaSutra,,,,,11101 Ventura Blvd,,,91604,Studio City,,,,,8183928302,,info@cannasutrausa.com,,,False,,False,False,0.0000,5301,5194.0,,,32.0,1.0,930.0,,{}
32,113301,CA,[],2018-05-30T14:02:14.589876-07:00,2018-11-06T07:34:06.972895-08:00,,,Canto Diem Collective,,,A10-18-0000266,,False,,,,,USD,,,Canto Diem Collective,,,,,10612 Chiquita St,,,91602,North Hollywood,,,,,8188211209,,cantodiemllc@gmail.com,,,False,,False,False,0.0000,5301,4890.0,,,32.0,,,,{}
33,113302,CA,[],2018-05-30T14:02:14.723018-07:00,2018-05-30T15:00:01.116438-07:00,,,Capitola Healing Association,,,A10-17-0000022,,False,,,,,USD,,,Capitola Healing Association,,,,,"3088 Winkle Ave, Santa Cruz, CA",,,95065,Santa Cruz,,,,,8314755506,,cannabishealing@yahoo.com,,,False,,False,False,0.0000,5301,,,,32.0,,,,{}
34,113303,CA,[],2018-05-30T14:02:14.847915-07:00,2018-05-30T15:00:01.285605-07:00,,,Captain Jacks San Bernadino,,,A10-18-0000151,,False,,,,,USD,,,Captain Jacks San Bernadino,,,,,100 W Hospitality Ln,,,92408,San Bernadino,,,,,9093813706,,,,,False,,False,False,0.0000,5301,,,,32.0,,,,{}
35,271707,CA,[32436],2019-08-07T21:35:25.562403-07:00,2020-07-23T15:11:38.244769-07:00,,,,,,C10-18-0000086-TEMP,,False,,,,,USD,,,Care Collective,,,,,2725 E. South Street,,,90805,long beach,,,33.832732,-117.874810,5624707227,,nicoleg@carecollectivelb.com,,,False,,False,False,0.0000,5301,,,,32.0,4.0,,,{}
36,113304,CA,[],2018-05-30T14:02:14.967080-07:00,2018-05-30T15:00:01.464470-07:00,,,Cathedral City Care Collective,,,A10-17-0000026,,False,,,,,USD,,,Cathedral City Care Collective,,,,,28201 Date Palm Drive #B,,,92234,Cathedral City,,,,,7608326417,,Catcitycare@gmail.com,,,False,,False,False,0.0000,5301,3965.0,,,32.0,,,,{}
37,113305,CA,[],2018-05-30T14:02:15.168255-07:00,2018-05-30T15:00:01.641515-07:00,,,CBCB,,,A10-17-0000062,,False,,,,,USD,,,CBCB,,,,,3033 Shattuck Ave,,,94705,Berkeley,,,,,5108494201,,info@cbcbberkeley.com,,,False,,False,False,0.0000,5301,4367.0,,,32.0,,,,{}
38,515767,CA,[],2020-09-17T10:37:28.499256-07:00,2020-09-17T10:37:28.879117-07:00,,,,,,C9-0000277-LIC,,False,,,,,USD,,,CBE deliveries LLC,CBE deliveries LLC,,,,300 Pendleton way,,319,94621,Oakland,,,37.735640,-122.200593,4155953756,,,,,True,looked_at_product,False,False,0.0000,5301,10727.0,,,36.0,,,,{}
39,113306,CA,[35250],2018-05-30T14:02:15.281830-07:00,2020-03-06T12:17:32.054011-08:00,,,CC101,,,C10-0000413-LIC,,False,,,,,USD,,,CC101,,,,,6435 Florin Perkins Rd,,,95828,Sacramento,,,38.509316,-121.389584,9163876233,,collectivecc101@gmail.com,,,False,,False,False,0.0000,5301,,,,83.0,,1063.0,,{}
40,273657,CA,[32436],2019-08-13T16:28:39.350987-07:00,2020-07-23T15:12:23.710069-07:00,,,,,,A10-18-0000245-TEMP,,False,,,,,USD,,,CCA California Caregivers Alliance,,,,,2815 W Sunset Blvd,,201,90026,"Los Angeles,",,,34.098043,-118.318905,2133530100,,CCAsilverlake@yahoo.com,,,False,,False,False,0.0000,5301,,,,32.0,4.0,,,{}
41,113307,CA,[],2018-05-30T14:02:15.563397-07:00,2018-11-06T07:34:29.950799-08:00,,,CCCN - North Hollywood,,,A10-18-0000213,,False,,,,,USD,,,CCCN - North Hollywood,,,,,4720 Vineland Ave,,,91602,North Hollywood,,,,,8189806337,,cccn.meds@gmail.com,,,False,,False,False,0.0000,5301,,,,32.0,,,,{}
42,438336,CA,[],2020-06-03T16:40:15.356692-07:00,2020-06-04T01:00:02.442040-07:00,,,,,,C10-0000039-LIC,,False,,,,,USD,,,Central Coast Wellness Center,Central Coast Wellness Center,,,,7932 Highway 9,,,95005,Ben Lomond,,,37.072024,-122.083946,,,,,,True,,False,False,0.0000,5301,3684.0,,,83.0,,,,{}
43,293382,CA,[],2019-09-19T13:39:37.511791-07:00,2019-09-19T13:39:38.225393-07:00,,,,,,C10-0000598,,False,,,,,USD,,,Chill Supply Co.,Chill Supply Co.,,,,1500 Esperanza ST.,,,90023,Los Angeles,,,34.016251,-118.200894,,,,,2019-09-19T13:39:37.503561-07:00,True,,False,False,0.0000,5301,4819.0,,,83.0,,,,{}
44,113308,CA,[32436],2018-05-30T14:02:15.899463-07:00,2020-07-23T15:13:17.923023-07:00,,,Circle of Hope,,,A10-18-0000260,,False,,,,,USD,,,Circle of Hope,,,,,16901 Roscoe Blvd,,,91343,Northridge,,,,,8188106074,,circleofhopela@gmail.com,,,False,,False,False,0.0000,5301,,,,32.0,1.0,,,{}
45,113309,CA,[],2018-05-30T14:02:16.321529-07:00,2018-05-30T15:15:00.626631-07:00,,,Citidank,,,A10-17-0000071,,False,,,,,USD,,,Citidank,,,,,"68444, Suites H-I, Perez Rd",,,92234,Cathedral City,,,,,7606155225,,info@citidank.net,,,False,,False,False,0.0000,5301,4764.0,,,32.0,,,,{}
46,113310,CA,[],2018-05-30T14:02:16.421814-07:00,2018-11-06T07:34:31.993273-08:00,,,City Compassionate Caregivers,,,A10-18-0000212,,False,,,,,USD,,,City Compassionate Caregivers,,,,,,,,90023,Los Angeles,,,,,3232657060,,city_cc420@yahoo.com,,,False,,False,False,0.0000,5301,,,,32.0,,,,{}
47,290330,CA,[],2019-09-16T17:54:57.503490-07:00,2019-11-08T08:00:01.969462-08:00,,,,,,C11-18-0000861,,False,,,,,USD,,,City of dank,,,,,"68444 Perez Rd H Cathedral City, CA USA 92234",,,92234,Cathedral city,,,33.785426,-116.467750,7606155225,,cityofdankcc@gmail.com,,,False,,False,False,0.0000,5301,,,,83.0,,,,{}
48,125034,CA,[35250],2018-07-17T16:50:55.798722-07:00,2020-08-11T12:19:39.914077-07:00,,,Triple C,,,C10-0000551-LIC,,False,,,,<p>24 Hour Notice and Invoice Emailed prior.</p><p>Delivery Windows Tuesday-Friday 10a-6p</p>,USD,,,Clearlake Compassion Center,,,,,14196 Lakeshore Dr,,,95422,Clearlake,,,38.955513,-122.647128,7077014160,,clearlakecompassioncenter@yahoo.com,,,False,,False,False,0.0000,5301,,,1441.0,83.0,1.0,1055.0,,{}
49,302331,CA,[],2019-10-05T12:48:40.921767-07:00,2019-10-05T12:48:42.587192-07:00,,,,,,C10-0000132,,False,,,,,USD,,,"CLH RETAIL SOLUTIONS,LLC","CLH RETAIL SOLUTIONS,LLC",,,,321 N 2nd St,,,93436,Lompoc,,,,,,,,,2019-10-31T19:05:53.139792-07:00,True,,False,False,0.0000,5301,7204.0,,,83.0,,,,{}
50,113311,CA,[],2018-05-30T14:02:16.525088-07:00,2018-11-06T07:34:33.880576-08:00,,,Cloud 8th DTLA,,,A10-18-0000246,,False,,,,,USD,,,Cloud 8th DTLA,,,,,2111 Long Beach Ave,,,90058,Downtown,,,,,2132751223,,info@cloud8th.la,,,False,,False,False,0.0000,5301,,,,32.0,,,,{}
51,113312,CA,[35250],2018-05-30T14:02:16.629303-07:00,2020-04-09T14:42:17.965811-07:00,,,Cloud 9,,,C10-0000412-LIC,,False,,,,,USD,,,Cloud 9,,,,,5711 Florin Perkins Rd #A,,,95828,Sacramento,,,38.522987,-121.389767,9163878605,,cloud9916@gmail.com,,,False,,False,False,0.0000,5301,9624.0,,,83.0,4.0,1063.0,,{}
52,305314,CA,[],2019-10-10T16:10:14.682070-07:00,2019-10-10T16:10:15.495719-07:00,,,Light house,,,A10-18-0000324-temp,,False,,,,,USD,,,Coachella light house,,,,,84160 avenue 48 Coachella,,,92236,Coachella,,,33.700350,-116.185259,,,info@lighthousedispensary.com,,,False,,False,False,0.0000,5301,,,,32.0,,,,{}
53,332816,CA,[],2019-12-02T20:11:38.863871-08:00,2019-12-02T20:11:39.708914-08:00,,,,,,C9-0000304,,False,,,,,USD,,,COASTAL DELIVERY SLO,COASTAL DELIVERY SLO,,,,747 Woodbridge Street,,,93401,San Luis Obispo,San Luis Obispo,,35.267330,-120.653940,,,,,2019-12-02T20:11:38.862594-08:00,True,,False,False,0.0000,5301,8922.0,,,96.0,,,,{}
54,113313,CA,[],2018-05-30T14:02:16.723327-07:00,2018-05-30T15:15:01.333630-07:00,,,Coast to Coast Collective,,,A10-18-0000200,,False,,,,,USD,,,Coast to Coast Collective,,,,,7127 Canoga Ave,,,91303,Canoga Park,,,,,8187120535,,contact@c2cmeds.com,,,False,,False,False,0.0000,5301,,,,32.0,,,,{}
55,394674,CA,[],2020-03-22T11:27:03.939563-07:00,2020-03-22T13:00:01.384008-07:00,,,,,,C11-0000080,,False,,,,,USD,,,Cobra Extracts,Cobra Extracts,,,,28364 S Western Ave #58,,,90275,Rancho Palos Verdes,,,33.761681,-118.310932,,,,,,True,,False,False,0.0000,5301,6746.0,,,97.0,,,,{}
56,419824,CA,[],2020-05-04T16:29:41.822862-07:00,2020-05-04T16:29:42.494427-07:00,,,,,,C11-0000332-LIC,,False,,,,,USD,,,"COLLECTIVE PHARM/ LAPC, High Note Culver City (DISTRIBUTOR)","COLLECTIVE PHARM/ LAPC, High Note Culver City (DISTRIBUTOR)",,,,5277 w Jefferson blvd,,,90016,Los Angeles,Los Angeles,,34.025584,-118.360601,(213) 572-7199,,,,,True,,False,False,0.0000,5301,9073.0,,,97.0,,,,{}
57,442713,CA,[8502],2020-06-09T20:28:31.945300-07:00,2020-06-09T20:28:32.932512-07:00,,,,,,C10-0000472-LIC,,False,,,,,USD,,,Columbia Care,,,,,4645 De Soto St,,,92109,San Diego,,,32.808009,-117.217619,8583245130,,tpadilla@col-care.com,,,False,,False,False,0.0000,5301,6574.0,,1956.0,83.0,2.0,,,{}
58,113314,CA,[],2018-05-30T14:02:16.823701-07:00,2018-05-30T15:15:01.505121-07:00,,,Compassionate Heart - Ukiah,,,A10-18-0000145,,False,,,,,USD,,,Compassionate Heart - Ukiah,,,,,"190 Kuki Rd, Ukiah",,,95482,Ukiah,,,,,7074625100,,compassionateheart08@gmail.com,,,False,,False,False,0.0000,5301,4530.0,,,32.0,,,,{}
59,161438,CA,[8502],2018-12-03T11:30:15.500370-08:00,2019-10-16T13:05:06.495671-07:00,,,,,,A-10-170000088,,False,,,<p>Robert is Purchasing Manager&nbsp;</p>,,USD,,,Connected Cannabis,,,,,2400 Pullman St Suite B,,,92705,Santa Ana,,,33.715009,-117.844376,6572294464,,Rclarkebell@connected-socal.com,,,False,,False,False,0.0000,5301,,,1442.0,32.0,,,,{}
60,113315,CA,[8502],2018-05-30T14:02:16.929347-07:00,2019-10-11T15:53:28.148291-07:00,,,Connected Cannabis Co,,,A10-17-0000092,,False,,,,,USD,,,Connected Cannabis Co,,,,,2831 Fruitridge Rd Suite E,,,95820,Sacramento,,,38.525222,-121.476379,9164751857,,Sacorders@connectedcannabisco.com,,,False,,True,False,0.0000,5301,,,,32.0,,931.0,,{}
61,291078,CA,[8502],2019-09-18T23:14:54.389892-07:00,2019-10-15T10:41:06.187780-07:00,,,Connected Transportation,,,C12-0000175-LIC,,False,,,<p><br></p>,,USD,,,Connected Transportation Partners INC,,,,,1035 22nd ave,,19,94606,Oakland,,,37.782091,-122.240410,4155745520,,hello@chillurmind.com,<p>campnova@connetcedtransportationinc.com<br></p>,,False,,False,False,0.0000,5301,,,,35.0,6.0,1055.0,,{}
62,113316,CA,[8502],2018-05-30T14:02:17.023882-07:00,2018-10-26T20:38:06.820018-07:00,,,Cookies OC,,,A10-17-0000088,,False,,,,,USD,,,Cookies OC,,,,,2400 Pullman St B,,,92705,Santa Ana,,,33.714998,-117.844175,6572294464,,SNAorders@connectedcannabisco.com,,,False,,False,False,0.0000,5301,,,1442.0,32.0,,931.0,,{}
